Institution,Amount,canton
UNI: University of Zürich   Zürich CH,3.8,ZH
UNI: Università degli Studi di Firenze  Fire nze I,0.19,address unfound
UNI: Università di Ferrara Dipartimento di S cienze Geologiche e Paleontologiche Ferrara I,87.17,address unfound
UNI: Università di Genova Dipartimento di Fi losofia  Genova I,0.15,address unfound
UNI: Universität Basel Aegyptologisches Semi nar  Basel CH,3.0,address unfound
UNI: Universität Basel Archäologisches Semin ar  4056 Basel CH,5.9,BS
UNI: Universität Basel Astronomisches Instit ut  Basel CH,7.38,address unfound
UNI: Universität Basel Biozentrum  Basel CH,90.11999999999999,address unfound
UNI: Universität Basel Biozentrum / Abteilun g Mikrobiologie Klingelbergstrasse 70 4056 B asel CH,4.0,address unfound
UNI: Universität Basel Deutsches Seminar  Ba sel CH,9.0,address unfound
UNI: Universität Basel Deutsches Seminar Eng elhof / Nadelberg 4 Basel CH,7.0,BS
UNI: Universität Basel Frey-Grynaeisches Ins titut  Basel CH,3.5,address unfound
UNI: Universität Basel Geographisches Instit ut  Basel CH,11.65,address unfound
UNI: Universität Basel Geographisches Instit ut Klingelbergstrasse 16 Basel CH,1.3,BS
UNI: Universität Basel Geologisch-Paläontolo gisches Institut  Basel CH,9.8,BS
UNI: Universität Basel Historisches Institut Basel CH,2.874,BS
UNI: Universität Basel Historisches Seminar Basel CH,9.0,BS
UNI: Universität Basel Institut für Statisti k und Oekonometrie Basel CH,5.7,address unfound
UNI: Universität Basel Psychiatrische Univer sitätsklinik  Basel CH,38.3,BS
UNI: Universität Basel Seminar für Klassisch e Philologie  Basel CH,3.74,BS
UNI: Universität Basel Zoologisches Institut Basel CH,95.36,BS
UNI: Universität Bern   Bern CH,26.854,BE
UNI: Universität Bern Botanische Institute P flanzenphysiologisches Institut Bern CH,3.0,BE
UNI: Universität Bern Evangelisch-theologisc hes Seminar  Bern CH,35.0,BE
UNI: Universität Bern Geografisches Institut Bern CH,1.2,BE
UNI: Universität Bern Historisches Institut Abteilung für Schweizer Geschichte Bern CH,5.61,BE
UNI: Universität Bern Institut für Allgemein e Mikrobiologie  Bern CH,44.0253,BE
UNI: Universität Bern Institut für Pädagogik Bern CH,36.0,BE
UNI: Universität Bern Institut für anorganis che Chemie  Bern CH,3.12,BE
UNI: Universität Bern Institut für anorganis che und physika- lische Chemie Bern CH,14.4,BE
UNI: Universität Bern Institut für organisch e Chemie  Bern CH,9.0,BE
UNI: Universität Bern Laboratorium für chemi sche und minera- logische Kristallographie B ern CH,36.0,address unfound
UNI: Universität Bern M.E. Müller Institut f ür Biomechanik  Bern CH,75.9,BE
UNI: Universität Bern M.E. Müller-Institut f ür Biomechanik  Bern CH,38.2,BE
UNI: Universität Bern Physiologisches Instit ut  Bern CH,4.68,BE
UNI: Universität Bern Zoologisches Institut Abteilung Neurobiologie Bern CH,6.0,BE
UNI: Universität Budapest of Economic Scienc es  Budapest H,1.3,address unfound
UNI: Universität Dortmund Fachbereich Chemie (Anorganische Chemie) Dortmund D,63.6,address unfound
UNI: Universität Freiburg   Freiburg CH,7.8,FR
UNI: Universität Freiburg Heilpädagogisches Institut  Freiburg CH,3.0,FR
UNI: Universität Freiburg Philosophisches Se minar  Freiburg CH,15.6,FR
UNI: Universität Freiburg Physikalisches Ins titut  Freiburg CH,1.4,FR
UNI: Universität Freiburg Physikalisches-che misches Institut  Freiburg CH,13.8,FR
UNI: Universität Freiburg Psychologisches In stitut  Freiburg CH,3.5,FR
UNI: Universität Freiburg Pädagogisches Inst itut  Freiburg CH,6.0,FR
UNI: Universität Fribourg Institut für Physi kalische Chemie  Fribourg CH,7.8,FR
UNI: Universität Fribourg Rechtswissenschaft liche Fakultät  Fribourg CH,3.15,FR
UNI: Universität Hamburg Institut für Geogra phie Bundesstrasse 55 Hamburg D,147.25,address unfound
UNI: Universität Heidelberg Südasieninstitut Heidelberg D,4.555,address unfound
UNI: Universität Lausanne Institut für organ ische Chemie  Lausanne CH,39.98,VD
UNI: Universität Lodz Abteilung für Biophysi k Banacha 12/16 Lodz PL,0.8,Institution not in Switzerland
UNI: Universität St. Gallen Schweizerisches Institut für gewerb- liche Wirtschaft St. Ga llen CH,3.5,address unfound
UNI: Universität Tübingen Philosophisches Se minar Bursagasse 1 Tübingen D,156.0,address unfound
UNI: Universität Zürich   Zürich CH,4.62,ZH
UNI: Universität Zürich Anorganisch-chemisch es Institut  Zürich CH,3.5,ZH
UNI: Universität Zürich Anorganisch-chemisch es Institut Winterthurerstrasse 190 Zürich C H,1.2,ZH
UNI: Universität Zürich Anorganisches-chemis ches Institut Winterthurerstrasse 190 Zürich CH,1.2,ZH
UNI: Universität Zürich Departement Patholog ie Institut für Neuropathologie Zürich CH,21.0,ZH
UNI: Universität Zürich Deutsches Seminar  Z ürich CH,7.0,address unfound
UNI: Universität Zürich Deutsches Seminar Li nguistische Abteilung Zürich CH,3.0,ZH
UNI: Universität Zürich Institut für Informa tik  Zürich CH,4.2,ZH
UNI: Universität Zürich Institut für Pflanze nbiologie  Zürich CH,9.15,ZH
UNI: Universität Zürich Institut für Pflanze nbiologie Limnologische Station Kilchberg CH,5.61,ZH
UNI: Universität Zürich Institut für empiris che Wirtschafts- forschung Zürich CH,1.4,ZH
UNI: Universität Zürich Institute of Veterin ary Pathology  Zürich CH,12.88,ZH
UNI: Universität Zürich Lab. für organische Chemie  Zürich CH,28.1,ZH
UNI: Universität Zürich Organisch-Chemisches Institut  Zürich CH,41.87,ZH
UNI: Universität Zürich Paläontologisches In stitut  Zürich CH,2.1,ZH
UNI: Universität Zürich Pharmakologisches In stitut  Zürich CH,36.0,ZH
UNI: Universität Zürich Philosophisches Semi nar  Zürich CH,5.61,ZH
UNI: Universität Zürich Physik-Institut  Zür ich CH,4.5,address unfound
UNI: Universität Zürich Physikalisches Insti tut  Zürich CH,15.3,ZH
UNI: Universität Zürich Physiologisches Inst itut  Zürich CH,58.22,ZH
UNI: Universität Zürich Slavisches Seminar Zürich CH,1.65,ZH
UNI: Universität Zürich Universitätsspital Zürich CH,39.745,ZH
UNI: Universität Zürich Wirtschaftswissensch aftliches Institut  Zürich CH,1.3,ZH
UNI: Universität Zürich Zahnärztliches Insti tut  Zürich CH,57.184,ZH
UNI: Universität Zürich Zoologisches Institu t  Zürich CH,57.6,ZH
UNI: Universität Zürich-Irchel Dept. of Comp uter Sciences  Zürich CH,3.465,ZH
UNI: Universität Zürich-Irchel Geographische s Institut  Zürich CH,3.0,ZH
UNI: Universität von Freiburg Institut für I nformatik  Freiburg CH,11.28,FR
UNI: Universitätskliniken Kantonsspital Base l Institut für Pathologie Basel CH,3.8,BS
UNI: Universitätsspital Zürich Departement f ür Frauenheilkunde Klinik und Poliklinik für Geburtshilfe Zürich CH,20.8,ZH
UNI: Universitätsspital Zürich Klinik und Po liklinik für Geburtshilfe  Zürich CH,7.8,ZH
UNI: Université   Lausanne CH,11.626,VD
UNI: Université Joseph Fourier Laboratoire d e physique numérique des systèmes complexes Grenoble F,60.0,address unfound
UNI: Université Laval Centre de Recherche en Endocrinologie  Québec CDN,1.153,address unfound
UNI: Université Louis Pasteur URA CNRS 854 I nstitut de Mécanique des Fluids (IMF) Strasb ourg F,6.0,address unfound
UNI: Université P. et M. Curie   Paris F,105.28,address unfound
UNI: Université Paris-Sud Laboratoire de Syn thèse Asymétrique  Orsay Cedex F,56.4,address unfound
UNI: Université Tours Institut d'Etudes Germ aniques  Osny F,0.74,address unfound
UNI: Université catholique de Louvain  Louva in-la-Neuve B,104.15,address unfound
UNI: Université de Fribourg   Fribourg CH,1.87,FR
UNI: Université de Fribourg Institut de chim ie organique  Fribourg CH,60.0,FR
UNI: Université de Genève   Genève CH,77.5,GE
UNI: Université de Genève Centre Médical Uni versitaire (CMU)  Genève CH,3.12,GE
UNI: Université de Genève Centre universitai re d'étude des problèmes de l'énergie Genève CH,1.56,GE
UNI: Université de Genève Department of Cond ensed Matter Physics  Genève CH,54.0,GE
UNI: Université de Genève Dept. de physique de la matière condensée Genève CH,62.366,GE
UNI: Université de Genève Département de Pat hologie  Genève CH,13.8,GE
UNI: Université de Genève Département de bio chimie médicale  Genève CH,4.68,GE
"UNI: Université de Genève Département de chi mie minérale, analy- tique et appliquée Genè ve CH",5.61,address unfound
"UNI: Université de Genève Département de chi mie minérale, analytique et appliquée Genève CH",5.61,GE
UNI: Université de Genève Département de pha rmacologie  Genève CH,1.4,GE
UNI: Université de Genève Dépt de Pathologie CMU Genève CH,9.0,GE
UNI: Université de Genève Dépt de physique n ucléaire et corpusculaire Genève CH,3.5,GE
UNI: Université de Genève Dépt. de chimie mi nérale analytique et appliquée Genève CH,7.2,GE
UNI: Université de Genève Faculté de Droit C ETEL Genève CH,3.74,GE
UNI: Université de Genève Faculté de Droit D épt de Droit pénal Genève CH,55.0,GE
UNI: Université de Genève Faculté de Droit Genève CH,7.48,GE
UNI: Université de Genève Faculté de Médecin e  Genève CH,75.122,GE
UNI: Université de Genève Faculté des Scienc es Section de Mathématiques Genève CH,7.2,GE
UNI: Université de Genève Faculté des scienc es Laboratoire de chimie pharmaceutique Genè ve CH,1.4,address unfound
UNI: Université de Genève Institut d'Histoir e de la Reformation  Genève CH,5.61,GE
UNI: Université de Genève Lab. de recherches métaboliques  Genève CH,2.242,GE
UNI: Université de Genève Laboratoire de Bio logie du Vieillissement  CH,3.18,address unfound
UNI: Université de Genève Laboratoires de Re cherches Métaboliques  Genève CH,3.74,GE
UNI: Université de Genève Section de Pharmac ie  Genève CH,2.4,GE
UNI: Université de Genève Section de Physiqu e  Genève CH,48.94,GE
UNI: Université de Kyoto Dépt. de Biophysiqu e  Kyoto J,9.642,address unfound
UNI: Université de Lausanne   Lausanne CH,107.78999999999999,VD
UNI: Université de Lausanne CME  Lausanne CH,1.87,VD
UNI: Université de Lausanne Centre Microscop ie Electronique  Lausanne CH,5.47,VD
UNI: Université de Lausanne Centre de Micros copie Electronique  Lausanne CH,1.87,VD
UNI: Université de Lausanne Faculté des Lett res  Lausanne CH,3.74,VD
UNI: Université de Lausanne Faculté des Scie nces Section de Chimie Lausanne CH,38.04,VD
UNI: Université de Lausanne Institut d'arché ologie et d'histoire ancienne Lausanne CH,5.61,VD
UNI: Université de Lausanne Institut d'étude s politiques et inter- nationales Lausanne C H,2.1,VD
UNI: Université de Lausanne Institut de Bioc himie  Lausanne CH,38.2,VD
UNI: Université de Lausanne Institut de Chim ie  Lausanne CH,2.4,VD
UNI: Université de Lausanne Institut de Chim ie Faculté de Sciences Lausanne CH,50.532,VD
UNI: Université de Lausanne Institut de Chim ie Organique  Lausanne CH,119.9,VD
UNI: Université de Lausanne Institut de Géol ogie et Paléontologie  Lausanne CH,9.350000000000001,VD
UNI: Université de Lausanne Institut de Géol ogie et Pathologie  1015 Lausanne CH,5.61,VD
UNI: Université de Lausanne Institut de Miné ralogie et Pétrographie Lausanne CH,5.61,VD
UNI: Université de Lausanne Institut de Méde cine Légale  Lausanne CH,0.12375,VD
UNI: Université de Lausanne Institut de Phar macologie et de Toxicologie Lausanne CH,27.25,VD
UNI: Université de Lausanne Institut de chim ie minérale et analytique Lausanne CH,9.45,VD
UNI: Université de Lausanne Section de Langu es et Cicilisations Orientales Lausanne CH,5.61,VD
UNI: Université de Lausanne Section de chimi e  Lausanne CH,39.84,VD
UNI: Université de Montréal Faculté des arts et des sciences Dépt de géologie Montréal C DN,22.2,address unfound
UNI: Université de Neuchâtel Centre de reche rche sémiologique  Neuchâtel CH,1.95,NE
UNI: Université de Neuchâtel Faculté de Droi t et des Sciences Economiques Neuchâtel CH,36.0,NE
UNI: Université de Neuchâtel Institut de Mic rotechnique  Neuchâtel CH,10.14,NE
UNI: Université de Neuchâtel Institut de Phy sique  Neuchâtel CH,3.0,NE
UNI: Université de Neuchâtel Institut de Psy chologie  2001 Neuchâtel CH,5.61,NE
UNI: Université de Neuchâtel Institut de bot anique  Neuchâtel CH,26.65,NE
UNI: Université de Paris Centre Universitair e d'Etudes de Communautés Européennes Paris F,5.47,address unfound
UNI: Université de Paris X-Nanterre  Nanterr e F,1.83,address unfound
UNI: Université de Paris XI Lab. de Physique théorique et Hautes énergies Paris F,0.14,address unfound
UNI: Université de Paris-Sorbonne Institut d 'histoire  Paris F,3.43,address unfound
UNI: Université de Paris-Sud    F,57.94,address unfound
UNI: Université de Paris-Sud Laboratoire de Photophysique Moléculaire Orsay F,2.3,address unfound
UNI: Université de Québec INRS - Section Eau Québec CDN,2.2,address unfound
UNI: Université de Rostov   Rostov sur le Do n RUS,2.0,address unfound
UNI: Université de Sherbrooke Service d'immu nologie Facutlé de médecine Sherbrooke CDN,3.477,address unfound
UNI: Universiät Bern Institut for Veterinary Bacteriology  Bern CH,3.0,BE
UNI: Univesity of Western Ontario Astronomy Departement  London CDN,1.663,address unfound
UNI: Uniwersytet Marii Curie- Sklodowskiej Z aklad Filologii Romanskiej Lublin PL,0.795,Institution not in Switzerland
UNI: Uppsala Universitet Department of Neuro science  Uppsala S,144.68,address unfound
UNI: Verkehrshaus Luzern   Luzern CH,1.68,LU
UNI: Ville de Genève Muséum d'histoire natur elle Département d'entomologie Genève CH,6.1,GE
UNI: Vrije Universiteit Sedimentaire Geologi e  Amsterdam NL,56.75,Institution not in Switzerland
UNI: W. & E. Hall Institute of Medical Resea rch  Victoria AUS,2.3,Institution not in Switzerland
UNI: W.E. Upjohn Institute for Employment Re search Kalamazoo USA,4.0,Institution not in Switzerland
UNI: Western Australia University Departemen t of Economics 35 Stirling Highway Crawley A US,6.95,address unfound
UNI: Zentralbibliothek  Zürich CH,1.87,ZH
UNI: Zoological Institute  Neuchâtel CH,7.7,NE
"UPRESA 8052 Département d'Histoire Université de Paris 1, Panthéon-Sorbonne",2.8,address unfound
Unite d'oncologie experimentale CHUV - Université de Lausanne,150.0,VD
Unité Multidisciplinaire de santé des adolescents (UMSA) Centre Hospitalier Universitaire Vaudois,2.2,address unfound
Unité d'Ecologie et Evolution Département de Biologie Université de Fribourg,11.1,FR
Unité d'histoire médiévale Département d'Histoire générale Faculté des Lettres / Université de Genève,6.59,GE
Unité de Développement en Obstétrique Département Gynécologie et Obstétrique Hôpitaux Universitaires de Genève,10.65,GE
Unité de Musicologie Faculté des Lettres Université de Genève,11.34,GE
University Alberta,12.35,Institution not in Switzerland
University of California Center for Studies in Higher Education International & Area Studies,12.0,address unfound
University of Cincinnati Dept. of Classics,11.98,address unfound
University of Tsukuba,1.5,Institution not in Switzerland
University of Washington Dept. of Economics,11.98,address unfound
Università degli Studi di Roma Dipartimento di Filologia Greca e Latina,7.275,address unfound
Università della Svizzera italiana,9.5,address unfound
Universitäre Psychiatrische Dienste Bern Universitäts- u. Poliklinik f. Psychiatrie Abteilung für Psychotherapie,11.55,address unfound
Universität Bern Dept. Volkswirtschaftslehre Bibliothek,9.3,address unfound
Universität Zürich Medizinische Fakultät,180.0,address unfound
"UniversitätsSpital Zürich Molekulare Innere Medizin Medpol, DIM",4.1,address unfound
Universitätsklinik für viszerale Medizin Inselspital Bern,180.0,BE
Universitätsklinik und Poliklinik für Psychiatrie,12.775,address unfound
Université Laval Faculté des lettres,11.775,address unfound
Université de Genève,58.0,GE
Ural State Forest Engineering University,115.0,address unfound
Versuchsstation Eschikon IAS ETH Zürich,3.5,ZH
Visual Computing Group CRS4,0.32,address unfound
WSL - Institut für Schnee- und Lawinenforschung SLF,21.8,address unfound
Watson Institute for International Studies Brown University,11.625,address unfound
Yale University School of Forestry and Environm. Studies,20.36,address unfound
Yale University School of Forestry and Environmental Studies,5.575,address unfound
Zentrum für Business Metrics Universität St. Gallen,5.6,SG
Zentrum für Demokratie Aarau ZDA Universität Zürich,3.3,ZH
Zentrum für Literatur- und Kulturforschung,8.0,address unfound
Zentrum für Molekulare Biolologie Universität Heidelberg (ZMBH),713.88,address unfound
Zoologisches Institut Universität Basel,10.5,BS
Zoologisches Institut Universität Zürich-Irchel,46.0,address unfound
